arquivo;condicao;ocorrencia;label
dp389m_pre.nirs;S;1;S_2min
dp389m_pre.nirs;D;1;D_2min
dp389m_pre.nirs;O;1;O
dp389m_pre.nirs;S;2;S_andar
dp389m_pre.nirs;D;2;D_andar
dp389m_pre.nirs;D;3;D_andar
dp389m_pre.nirs;O;2;O
dp389m_pre.nirs;O;3;O
dp389m_pre.nirs;S;3;S_andar
dp389m_pre.nirs;D;4;D_andar
dp389m_pre.nirs;B;1;Basiline
dp389m_pre.nirs;S;4;S_postura
dp389m_pre.nirs;F;1;F
dp389m_pre.nirs;I;1;I
dp389m_pre.nirs;B;2;B
dp389m_pre.nirs;S;5;S_postura
dp389m_pre.nirs;D;5;D_postura
dp389m_pre.nirs;D;6;D_postura
dp389m_pre.nirs;D;7;D_postura
dp389m_pre.nirs;S;6;S_postura
dp389m_pre.nirs;P;1;P
dp389m_pre.nirs;P;2;P
dp389m_pre.nirs;P;3;P
